_id,order_type,order_type2,algorithm,period,mm,active
ObjectId("5ded3f5c00170832943a29c4"),buy,,MMEvol,720,45,true
ObjectId("5ded3f5c00170832943a29c5"),buy,,MMEvol,720,60,true
ObjectId("5ded3f5c00170832943a29c6"),buy,,MMEvol,720,75,true
ObjectId("5ded3f5c00170832943a29c7"),buy,,MMEvol,720,90,true
ObjectId("5ded3f5c00170832943a29c8"),buy,,MMEvol,720,105,true
ObjectId("5ded3f5c00170832943a29c9"),buy,,MMEvol,720,120,true
ObjectId("5ded3f5c00170832943a29ca"),buy,,MMEvol,720,180,true
ObjectId("5ded3f5c00170832943a29cb"),buy,,MMEvol,720,360,true
ObjectId("5ded3f5c00170832943a29cc"),buy,,MMEvol,720,540,true
ObjectId("5ded3f5c00170832943a29cd"),buy,,MMEvol,720,720,true
ObjectId("5ded3f5c00170832943a29ce"),buy,,MMEvol,720,1440,true
ObjectId("5ded3f5c00170832943a29d0"),buy,,MMEvol,1440,5,true
ObjectId("5ded3f5c00170832943a29d1"),buy,,MMEvol,1440,15,true
ObjectId("5ded3f5c00170832943a29d2"),buy,,MMEvol,1440,30,true
ObjectId("5ded3f5c00170832943a29d3"),buy,,MMEvol,1440,45,true
ObjectId("5ded3f5c00170832943a29d4"),buy,,MMEvol,1440,60,true
ObjectId("5ded3f5c00170832943a29d5"),buy,,MMEvol,1440,75,true
ObjectId("5ded3f5c00170832943a29d6"),buy,,MMEvol,1440,90,true
ObjectId("5ded3f5c00170832943a29d7"),buy,,MMEvol,1440,105,true
ObjectId("5ded3f5c00170832943a29d8"),buy,,MMEvol,1440,120,true
ObjectId("5ded3f5c00170832943a29d9"),buy,,MMEvol,1440,180,true
ObjectId("5ded3f5c00170832943a29da"),buy,,MMEvol,1440,360,true
ObjectId("5ded3f5c00170832943a29db"),buy,,MMEvol,1440,540,true
ObjectId("5ded3f5c00170832943a29dc"),buy,,MMEvol,1440,720,true
ObjectId("5ded3f5c00170832943a29dd"),buy,,MMEvol,1440,1440,true
ObjectId("5e06605a465f694edc947d14"),sell,stop-loss,Keltner,,,false
ObjectId("5e0660c22ce6924edc3419f2"),sell,stop-loss,Keltner,,,false
ObjectId("5e0660ec2ce6924edc3419f3"),sell,stop-loss,Keltner,,,false
ObjectId("5e06610c2ce6924edc3419f4"),sell,stop-loss,Keltner,,,false
ObjectId("5e0661572ce6924edc3419f5"),sell,stop-loss,Keltner,,,true
ObjectId("5e067740465f694edc947d15"),all,,AutonomousRobot,,,true
